Jugador,Equipo,Temporada,grupo,arquetipo
Luis Rioja,Valencia,2021-22,Extremo,Asociativo
Álvaro García,Rayo Vallecano,2021-22,Extremo,Asociativo
Brais Méndez,Real Sociedad,2021-22,Extremo,Defensivo
Dani Rodríguez,Leganés,2021-22,Extremo,Defensivo
Sergio Canales,Monterrey,2021-22,Extremo,Asociativo
Iker Muniain,Athletic Club,2021-22,Extremo,Asociativo
Vinícius Júnior,Real Madrid,2021-22,Extremo,Finalizador
Y. Carrasco,Al Shabab,2021-22,Extremo,Desbordador
Rubén García,Osasuna,2021-22,Extremo,Asociativo
Isi Palazón,Rayo Vallecano,2021-22,Extremo,Defensivo
Antonio Puertas,Albacete,2021-22,Extremo,Defensivo
Fidel,Eldense,2021-22,Extremo,Asociativo
Javi Puado,Espanyol,2021-22,Extremo,Defensivo
Álex Berenguer,Athletic Bilbao,2021-22,Extremo,Defensivo
Manu Trigueros,Granada,2021-22,Extremo,Defensivo
L. Ocampos,Monterrey,2021-22,Extremo,Desbordador
Juanmi,Getafe,2021-22,Extremo,Desbordador
Adri Embarba,Almería,2021-22,Extremo,Defensivo
F. Cervi,Celta de Vigo,2021-22,Extremo,Defensivo
A. Gómez,Padova,2021-22,Extremo,Desbordador
Jorge de Frutos,Rayo Vallecano,2021-22,Extremo,Desbordador
Marco Asensio,Fenerbahçe,2021-22,Extremo,Finalizador
Yéremy Pino,Crystal Palace,2021-22,Extremo,Desbordador
Mikel Oyarzabal,Real Sociedad,2021-22,Extremo,Desbordador
Tete Morente,Elche,2021-22,Extremo,Defensivo
A. Januzaj,Sevilla,2021-22,Extremo,Asociativo
Edgar Méndez,Prachuap,2021-22,Extremo,Defensivo
Portu,Girona,2021-22,Extremo,Defensivo
T. Kubo,Real Sociedad,2021-22,Extremo,Desbordador
Rodrygo,Real Madrid,2021-22,Extremo,Desbordador
Salvi Sánchez,Ceuta,2021-22,Extremo,Defensivo
Ferrán Torres,Barcelona,2021-22,Extremo,Finalizador
D. Machís,América de Cali,2021-22,Extremo,Desbordador
Nico Williams,Athletic Club,2021-22,Extremo,Desbordador
O. Dembélé,PSG,2021-22,Extremo,Finalizador
S. Chukwueze,Fulham,2021-22,Extremo,Finalizador
Moi Gómez,Osasuna,2021-22,Extremo,Defensivo
Y. Musah,Atalanta,2021-22,Extremo,Defensivo
Alberto Moreno,Como,2021-22,Extremo,Defensivo
Nico Melamed,Almería,2021-22,Extremo,Defensivo
J. Corona,Monterrey,2021-22,Extremo,Asociativo
Hélder Costa,Valencia,2021-22,Extremo,Defensivo
Iván Alejo,Real Valladolid,2021-22,Extremo,Asociativo
O. Idrissi,Pachuca,2021-22,Extremo,Asociativo
E. Lamela,Sevilla,2021-22,Extremo,Desbordador
Bebé,Ibiza,2021-22,Extremo,Desbordador
Javi Martínez,Eibar,2021-22,Extremo,Defensivo
T. Vilhena,Panathinaikos,2021-22,Extremo,Defensivo
A. Ndiaye,Real Valladolid,2021-22,Extremo,Defensivo
Rodri Sánchez,Al Arabi,2021-22,Extremo,Asociativo
M. Uzuni,Austin FC,2021-22,Extremo,Defensivo
Kike Barja,Osasuna,2021-22,Extremo,Desbordador
Aitor Ruibal,Real Betis,2021-22,Extremo,Defensivo
Roberto Torres,Orihuela,2021-22,Extremo,Asociativo
F. Coquelin,Nantes,2021-22,Extremo,Defensivo
Cristian Tello,365,2021-22,Extremo,Desbordador
Samuel Lino,Flamengo,2022-23,Extremo,Desbordador
Isi Palazón,Rayo Vallecano,2022-23,Extremo,Defensivo
Álvaro García,Rayo Vallecano,2022-23,Extremo,Asociativo
Vinícius Júnior,Real Madrid,2022-23,Extremo,Finalizador
Lee Kang-In,PSG,2022-23,Extremo,Asociativo
Nico Williams,Athletic Club,2022-23,Extremo,Desbordador
Rubén Sobrino,Cultural Leonesa,2022-23,Extremo,Defensivo
Moi Gómez,Osasuna,2022-23,Extremo,Asociativo
Yéremy Pino,Crystal Palace,2022-23,Extremo,Desbordador
Sergio Canales,Monterrey,2022-23,Extremo,Asociativo
S. Chukwueze,Fulham,2022-23,Extremo,Finalizador
Javi Puado,Espanyol,2022-23,Extremo,Desbordador
Gonzalo Plata,Flamengo,2022-23,Extremo,Defensivo
Álex Berenguer,Athletic Club,2022-23,Extremo,Desbordador
Rodrigo Riquelme,Real Betis,2022-23,Extremo,Desbordador
Carles Pérez,Aris,2022-23,Extremo,Desbordador
Tete Morente,Elche,2022-23,Extremo,Defensivo
Dani Rodríguez,Leganés,2022-23,Extremo,Defensivo
Raphinha,Barcelona,2022-23,Extremo,Finalizador
Óscar Plano,Leganés,2022-23,Extremo,Defensivo
F. Cervi,Celta de Vigo,2022-23,Extremo,Defensivo
T. Bongonda,Spartak Moskva,2022-23,Extremo,Desbordador
E. Lamela,Sevilla,2022-23,Extremo,Desbordador
Portu,Girona,2022-23,Extremo,Defensivo
Luiz Henrique,Zenit,2022-23,Extremo,Defensivo
Léo Baptistão,Almería,2022-23,Extremo,Defensivo
Rodri Sánchez,Al Arabi,2022-23,Extremo,Asociativo
Adri Embarba,Almería,2022-23,Extremo,Desbordador
A. Ezzalzouli,Real Betis,2022-23,Extremo,Desbordador
J. Kluivert,Bournemouth,2022-23,Extremo,Desbordador
V. Tsygankov,Girona,2022-23,Extremo,Asociativo
