Jugador,Equipo,Equipo durante el período seleccionado,Posición específica,Edad,Valor de mercado,Vencimiento contrato,Partidos jugados,Minutos jugados,Goles,xG,Asistencias,xA,Duelos/90,"Duelos ganados, %",País de nacimiento,Pasaporte,Pie,Altura,Peso,En préstamo,Acciones defensivas realizadas/90,Duelos defensivos/90,"Duelos defensivos ganados, %",Duelos aéreos en los 90,"Duelos aéreos ganados, %",Entradas/90,Posesión conquistada después de una entrada,Tiros interceptados/90,Interceptaciones/90,Posesión conquistada después de una interceptación,Faltas/90,Tarjetas amarillas,Tarjetas amarillas/90,Tarjetas rojas,Tarjetas rojas/90,Acciones de ataque exitosas/90,Goles/90,Goles (excepto los penaltis),"Goles, excepto los penaltis/90",xG/90,Goles de cabeza,Goles de cabeza/90,Remates,Remates/90,"Tiros a la portería, %","Goles hechos, %",Asistencias/90,Centros/90,"Precisión centros, %",Centros desde la banda izquierda/90,"Precisión centros desde la banda izquierda, %",Centros desde la banda derecha/90,"Precisión centros desde la banda derecha, %",Centros al área pequeña/90,Regates/90,"Regates realizados, %",Duelos atacantes/90,"Duelos atacantes ganados, %",Toques en el área de penalti/90,Carreras en progresión/90,Aceleraciones/90,Pases recibidos /90,Pases largos recibidos/90,Faltas recibidas/90,Pases/90,"Precisión pases, %",Pases hacia adelante/90,"Precisión pases hacia adelante, %",Pases hacia atrás/90,"Precision pases hacia atrás, %",Pases laterales/90,"Precisión pases laterales, %",Pases cortos / medios /90,"Precisión pases cortos / medios, %",Pases largos/90,"Precisión pases largos, %","Longitud media pases, m","Longitud media pases largos, m",xA/90,Asistencias/90.1,Second assists/90,Third assists/90,Desmarques/90,"Precisión desmarques, %",Jugadas claves/90,Pases en el último tercio/90,"Precisión pases en el último tercio, %",Pases al área de penalti/90,"Pases hacía el área pequeña, %",Pases en profundidad/90,"Precisión pases en profundidad, %",Ataque en profundidad/90,Centros desde el último tercio/90,Pases progresivos/90,"Precisión pases progresivos, %",Goles recibidos,Goles recibidos/90,Remates en contra,Remates en contra/90,Porterías imbatidas en los 90,"Paradas, %",xG en contra,xG en contra/90,Goles evitados,Goles evitados/90,Pases hacía atrás recibidos del arquero/90,Salidas/90,Duelos aéreos en los 90.1,Tiros libres/90,Tiros libres directos/90,"Tiros libres directos, %",Córneres/90,Penaltis a favor,"Penaltis realizados, %",Temporada,pos_primaria,grupo,arquetipo_proyectado,similitud_coseno,similitud_0_1,sobre_rendimiento_z,sobre_rendimiento_0_1,ajuste_edad_0_1,score_final,shap_top_factores
Fer López,Celta Fortuna,Celta Fortuna,"AMF, RCMF, RWF",21,0,2030-06-30,33,1641,7,7.1,3,3.26,20.51,47.59,Spain,Spain,izquierdo,188,75,si,5.76,6.14,53.57,1.7,32.26,0.27,0.41,0.27,2.19,3.3,1.59,1,0.05,0,0.0,4.22,0.38,7,0.38,0.39,0,0.0,45,2.47,48.89,15.556,0.16,0.49,44.44,0.33,50.0,0.16,33.33,0.0,3.84,62.86,9.54,48.85,2.47,2.69,0.6,30.66,0.66,1.15,39.71,87.02,9.71,71.19,8.01,97.26,14.48,92.05,37.73,89.53,1.48,37.04,16.73,18.78,0.18,1.7,0.11,0.0,1.04,36.84,0.71,5.37,73.47,2.03,67.57,1.04,36.84,1.43,0.16,4.88,82.02,0,,0,,0,0,0,0,,,0.0,,,0.05,0.05,0.0,0.49,0,0.0,2023-24,AMF,Mediapunta,Llegador,0.9732151390729108,0.9866075695364552,1.513498794052163,1.0,0.8333333333333334,96.83037847682276,Goles/90 (+8.6) | xA/90 (+4.6) | Pases recibidos /90 (+4.1)
Nico Paz,Real Madrid Castilla,Real Madrid Castilla,"CF, AMF, RW",21,0,2028-06-30,29,2736,9,6.19,2,5.42,27.76,43.48,Spain,"Spain, Argentina",izquierdo,186,81,no,9.08,7.73,61.28,2.04,50.0,0.59,0.74,0.1,3.75,4.68,1.32,4,0.13,0,0.0,4.9,0.3,8,0.26,0.2,1,0.03,69,2.27,44.93,13.043,0.07,1.02,38.71,0.39,50.0,0.63,31.58,0.26,5.89,48.6,13.91,36.17,1.94,2.5,1.58,19.24,1.51,1.58,27.96,80.0,7.07,65.58,5.86,91.57,8.95,80.88,25.33,83.38,1.68,52.94,16.96,27.07,0.18,1.91,0.03,0.07,1.25,50.0,0.49,3.98,70.25,1.88,57.89,0.99,40.0,0.86,0.39,3.95,75.0,0,,0,,0,0,0,0,,,0.0,,,2.2,0.49,26.67,4.24,2,50.0,2023-24,CF,Delantero,Físico/Presor,0.8371679383451741,0.918583969172587,1.162733853103235,0.8536316381941637,0.625,85.18130579542508,Pases recibidos /90 (+6.9) | Aceleraciones/90 (+5.2) | Interceptaciones/90 (+4.2)
A. Ezzalzouli,Barcelona Atlètic,Barcelona Atlètic,"LWF, LW, RWF",24,0,2029-06-30,21,1533,3,2.91,6,4.54,36.87,42.91,Morocco,"Morocco, Spain",derecho,177,73,no,6.79,6.29,61.39,1.99,25.0,0.19,0.35,0.06,2.74,5.14,1.56,2,0.12,0,0.0,8.41,0.18,3,0.19,0.18,0,0.0,38,2.37,34.21,7.895,0.37,2.68,37.21,2.18,40.0,0.5,25.0,0.44,12.58,52.48,24.42,42.6,5.11,6.04,1.74,23.04,2.18,2.55,32.01,79.18,6.54,74.29,9.53,90.85,8.35,73.88,28.34,83.74,1.12,55.56,15.04,23.58,0.28,1.43,0.06,0.06,0.19,0.0,1.12,1.99,81.25,2.3,43.24,0.31,0.0,1.06,1.0,3.67,79.66,0,,0,,0,0,0,0,,,0.0,,,0.06,0.06,0.0,0.31,0,0.0,2021-22,LWF,Extremo,Desbordador,0.7930249829011505,0.8965124914505753,1.5335536029781345,1.0,0.2222222222222222,83.1589579058621,Carreras en progresión/90 (+7.7) | Toques en el área de penalti/90 (+6.7) | xA/90 (+4.0)
Pablo Torre,Racing Santander,Racing Santander,"AMF, CF",23,3000000,2029-06-30,32,2289,10,6.39,9,8.35,21.9,43.31,Spain,Spain,derecho,173,63,no,4.19,4.72,58.62,2.08,15.69,0.16,0.22,0.0,1.26,1.69,1.06,9,0.35,0,0.0,4.88,0.39,8,0.33,0.26,3,0.12,52,2.12,42.31,19.231,0.37,1.63,32.5,0.9,36.36,0.73,27.78,0.24,5.13,57.14,12.33,44.88,1.87,2.36,1.02,24.83,1.02,2.44,35.13,85.05,8.87,76.61,8.79,93.98,10.83,84.96,31.83,89.26,1.83,55.56,17.13,32.61,0.34,2.2,0.12,0.08,0.9,59.09,0.49,5.09,75.2,2.36,53.45,0.85,47.62,0.94,0.57,4.23,86.54,0,,0,,0,0,0,0,,,0.12,,,2.48,0.37,33.33,4.23,2,100.0,2021-22,AMF,Mediapunta,Llegador,0.6660180572852284,0.8330090286426142,1.4084563999688124,0.9596959309067832,0.5,82.73980901386811,Goles/90 (+9.1) | xA/90 (+5.5) | Pases en el último tercio/90 (+4.0)
Jan Virgili,Barcelona Atlètic,Barcelona Atlètic,"RW, RAMF",19,0,2030-06-30,17,920,4,3.13,2,1.92,20.45,42.58,Spain,Spain,unknown,177,0,no,3.91,4.7,52.08,1.27,69.23,0.0,0.0,0.0,1.47,2.43,0.88,1,0.1,0,0.0,5.18,0.39,4,0.39,0.31,0,0.0,15,1.47,46.67,26.667,0.2,3.72,31.58,0.49,40.0,3.23,30.3,0.88,6.65,48.53,12.62,37.21,3.62,4.6,0.59,23.77,2.25,0.88,27.88,75.09,4.89,60.0,9.68,94.95,8.51,66.67,22.99,83.4,1.37,57.14,18.15,18.48,0.19,0.68,0.1,0.0,0.29,33.33,0.49,1.27,53.85,3.23,45.45,0.39,25.0,0.98,0.98,3.91,67.5,0,,0,,0,0,0,0,,,0.1,,,0.0,0.0,0.0,1.37,0,0.0,2024-25,RW,Extremo,Desbordador,0.8880788240087608,0.9440394120043804,0.6124533933629134,0.6539727566030834,0.7777777777777778,81.75768374799361,Carreras en progresión/90 (+6.9) | Toques en el área de penalti/90 (+6.3) | xA/90 (+3.7)
Sergio Arribas,Real Madrid Castilla,Real Madrid Castilla,CF,24,0,2029-06-30,37,3466,21,15.41,8,8.6,18.02,45.1,Spain,Spain,izquierdo,174,71,no,3.53,3.01,58.62,0.68,42.31,0.05,0.07,0.03,1.71,2.39,0.49,7,0.18,0,0.0,5.35,0.55,17,0.44,0.4,1,0.03,105,2.73,47.62,19.048,0.21,1.22,44.68,0.26,30.0,0.91,48.57,0.08,5.56,50.93,12.44,43.22,2.93,3.3,2.03,24.41,0.99,1.97,34.54,86.92,7.79,77.67,8.88,94.15,11.53,88.51,32.22,89.85,1.17,46.67,16.96,28.31,0.22,1.84,0.05,0.05,1.38,49.06,0.55,3.82,82.99,2.73,60.0,1.17,31.11,1.61,0.49,4.13,81.76,0,,0,,0,0,0,0,,,0.1,,,1.43,0.16,0.0,2.31,3,100.0,2022-23,CF,Delantero,Móvil/Espacios,0.763100092282876,0.8815500461414381,1.4544232503992969,0.963705718170855,0.25,81.55720244305182,Pases recibidos /90 (+7.8) | Aceleraciones/90 (+5.8) | Remates/90 (+2.3)
Peio Canales ,Athletic Bilbao,Athletic Bilbao,"AMF, RCMF, LDMF",21,0,2027-06-30,18,1727,3,3.02,2,3.47,14.59,46.79,Spain,Spain,derecho,175,68,si,4.53,3.54,58.82,1.35,19.23,0.31,0.45,0.0,2.14,3.1,0.47,2,0.1,0,0.0,2.81,0.16,3,0.16,0.16,0,0.0,45,2.35,35.56,6.667,0.1,0.94,44.44,0.52,30.0,0.42,62.5,0.05,2.19,69.05,8.18,47.77,1.04,2.61,0.31,31.84,0.16,1.77,43.93,85.65,11.83,81.5,7.76,92.62,17.15,86.02,40.65,87.82,2.4,65.22,18.4,36.97,0.18,1.62,0.16,0.0,0.05,100.0,0.42,6.57,88.1,1.72,57.58,0.31,50.0,0.63,0.31,7.24,78.42,0,,0,,0,0,0,0,,,0.42,,,1.46,0.26,60.0,2.76,0,0.0,2024-25,AMF,Mediapunta,Creador,0.7497805262602092,0.8748902631301045,0.7872458986185379,0.7213415865837995,0.8333333333333334,81.49146868693822,xA/90 (+5.0) | Remates/90 (+4.5) | Pases recibidos /90 (+3.5)
Gonzalo García,Real Madrid Castilla,Real Madrid Castilla,"CF, LWF",22,0,2030-06-30,36,3424,25,22.05,2,2.38,18.14,40.87,Spain,Spain,derecho,168,0,no,3.86,2.76,52.38,4.18,46.54,0.05,0.07,0.11,2.37,3.07,0.74,4,0.11,0,0.0,3.65,0.66,19,0.5,0.58,5,0.13,100,2.63,54.0,25.0,0.05,0.81,35.48,0.34,30.77,0.47,38.89,0.11,3.39,54.26,8.65,37.99,3.55,1.5,0.29,18.93,1.58,1.21,25.39,78.57,6.68,64.96,6.54,93.17,7.39,80.43,23.03,82.08,1.6,47.54,17.47,32.74,0.06,0.63,0.08,0.05,0.29,36.36,0.26,3.29,69.6,1.55,54.24,0.42,43.75,0.74,0.34,3.57,71.32,0,,0,,0,0,0,0,,,0.0,,,0.03,0.0,0.0,0.0,9,66.667,2024-25,CF,Delantero,Clásico de Área,0.8012547254726831,0.9006273627363415,1.0690402830218202,0.8182747358794198,0.5,81.17098389259677,"xG/90 (+4.4) | Pases recibidos /90 (+3.6) | Goles, excepto los penaltis/90 (+3.4)"
Sergio Arribas,Real Madrid Castilla,Real Madrid Castilla,"CF, RW",24,0,2029-06-30,36,3191,15,10.36,6,8.15,21.31,44.88,Spain,Spain,izquierdo,174,71,no,3.92,3.8,60.63,0.78,30.77,0.15,0.2,0.0,1.46,1.92,0.75,4,0.11,0,0.0,5.44,0.42,11,0.33,0.31,2,0.06,78,2.33,48.72,19.231,0.18,1.37,28.26,0.3,50.0,1.08,22.22,0.27,7.35,49.59,13.51,44.69,3.41,3.74,2.57,26.06,1.17,2.24,35.0,86.17,8.55,80.07,7.56,97.23,11.63,87.15,32.55,89.35,1.14,60.53,16.66,18.98,0.24,1.85,0.21,0.0,0.87,31.03,0.69,4.09,82.48,2.93,59.18,0.9,30.0,2.15,0.54,4.39,88.44,0,,0,,0,0,0,0,,,0.06,,,0.87,0.24,12.5,0.81,4,100.0,2021-22,CF,Delantero,Móvil/Espacios,0.6548822576990507,0.8274411288495254,1.5506008173094947,1.0,0.25,80.12205644247626,Pases recibidos /90 (+8.0) | Aceleraciones/90 (+6.7) | Carreras en progresión/90 (+2.3)
Nico Paz,Real Madrid Castilla,Real Madrid Castilla,"CF, RCMF, LCMF",21,0,2028-06-30,18,1004,2,2.8,2,1.25,24.92,44.24,Spain,"Spain, Argentina",izquierdo,186,81,no,6.63,6.72,60.0,3.05,50.0,0.36,0.48,0.0,2.24,2.99,1.17,3,0.27,0,0.0,3.23,0.18,2,0.18,0.25,0,0.0,29,2.6,31.03,6.897,0.18,0.54,50.0,0.18,50.0,0.36,50.0,0.0,4.12,43.48,10.85,34.71,2.78,1.88,1.17,16.94,1.79,0.99,23.04,80.54,6.19,69.57,6.1,89.71,6.1,83.82,21.6,82.99,0.99,36.36,13.51,13.25,0.11,1.17,0.0,0.0,0.81,44.44,0.45,2.33,65.38,1.34,86.67,0.81,44.44,1.08,0.27,2.69,76.67,0,,0,,0,0,0,0,,,0.0,,,0.0,0.0,0.0,0.09,0,0.0,2022-23,CF,Delantero,Físico/Presor,0.8874138353153145,0.9437069176576572,0.6833501409238064,0.6727278358512802,0.625,80.10582013767767,Pases recibidos /90 (+5.5) | Carreras en progresión/90 (+3.4) | Aceleraciones/90 (+3.3)
