Jugador,Equipo,Equipo durante el período seleccionado,Posición específica,Edad,Valor de mercado,Vencimiento contrato,Partidos jugados,Minutos jugados,Goles,xG,Asistencias,xA,Duelos/90,"Duelos ganados, %",País de nacimiento,Pasaporte,Pie,Altura,Peso,En préstamo,Acciones defensivas realizadas/90,Duelos defensivos/90,"Duelos defensivos ganados, %",Duelos aéreos en los 90,"Duelos aéreos ganados, %",Entradas/90,Posesión conquistada después de una entrada,Tiros interceptados/90,Interceptaciones/90,Posesión conquistada después de una interceptación,Faltas/90,Tarjetas amarillas,Tarjetas amarillas/90,Tarjetas rojas,Tarjetas rojas/90,Acciones de ataque exitosas/90,Goles/90,Goles (excepto los penaltis),"Goles, excepto los penaltis/90",xG/90,Goles de cabeza,Goles de cabeza/90,Remates,Remates/90,"Tiros a la portería, %","Goles hechos, %",Asistencias/90,Centros/90,"Precisión centros, %",Centros desde la banda izquierda/90,"Precisión centros desde la banda izquierda, %",Centros desde la banda derecha/90,"Precisión centros desde la banda derecha, %",Centros al área pequeña/90,Regates/90,"Regates realizados, %",Duelos atacantes/90,"Duelos atacantes ganados, %",Toques en el área de penalti/90,Carreras en progresión/90,Aceleraciones/90,Pases recibidos /90,Pases largos recibidos/90,Faltas recibidas/90,Pases/90,"Precisión pases, %",Pases hacia adelante/90,"Precisión pases hacia adelante, %",Pases hacia atrás/90,"Precision pases hacia atrás, %",Pases laterales/90,"Precisión pases laterales, %",Pases cortos / medios /90,"Precisión pases cortos / medios, %",Pases largos/90,"Precisión pases largos, %","Longitud media pases, m","Longitud media pases largos, m",xA/90,Asistencias/90.1,Second assists/90,Third assists/90,Desmarques/90,"Precisión desmarques, %",Jugadas claves/90,Pases en el último tercio/90,"Precisión pases en el último tercio, %",Pases al área de penalti/90,"Pases hacía el área pequeña, %",Pases en profundidad/90,"Precisión pases en profundidad, %",Ataque en profundidad/90,Centros desde el último tercio/90,Pases progresivos/90,"Precisión pases progresivos, %",Goles recibidos,Goles recibidos/90,Remates en contra,Remates en contra/90,Porterías imbatidas en los 90,"Paradas, %",xG en contra,xG en contra/90,Goles evitados,Goles evitados/90,Pases hacía atrás recibidos del arquero/90,Salidas/90,Duelos aéreos en los 90.1,Tiros libres/90,Tiros libres directos/90,"Tiros libres directos, %",Córneres/90,Penaltis a favor,"Penaltis realizados, %",Temporada,pos_primaria,grupo,cluster,arquetipo,distancia_centroide,pureza_arquetipo,pca1,pca2
Luis Rioja,Deportivo Alavés,Deportivo Alavés,"LW, LAMF",32,4000000,2027-06-30,37,3326,1,3.75,3,4.07,19.46,43.53,Spain,Spain,izquierdo,175,68,no,5.17,4.36,56.52,1.6,30.51,0.11,0.13,0.03,2.6,3.2,0.43,3,0.08,0,0.0,5.44,0.03,1,0.03,0.1,0,0.0,41,1.11,36.59,2.439,0.08,3.98,27.21,3.71,27.74,0.27,20.0,0.38,6.85,54.55,10.88,42.79,2.11,2.65,1.33,14.34,1.76,1.0,22.68,67.78,5.41,63.0,5.9,92.2,6.06,53.57,17.45,78.14,1.46,48.15,18.89,27.31,0.11,0.81,0.05,0.03,0.6,36.36,0.43,1.54,64.91,3.44,37.8,0.46,23.53,0.57,1.08,3.82,66.67,0,,0,,0,0,0,0.0,,,0.19,,,0.6,0.0,0.0,0.68,0,0.0,2021-22,LW,Extremo,2,Asociativo,1.756957632807855,85.7,-0.2743166572966711,1.8404815337447975
Álvaro García,Rayo Vallecano,Rayo Vallecano,"LAMF, LW",33,3000000,2028-06-30,36,3259,7,7.29,4,6.04,12.7,49.13,Spain,Spain,izquierdo,167,60,no,5.99,4.36,58.86,0.91,18.18,0.11,0.16,0.08,3.31,4.76,0.66,6,0.17,0,0.0,4.86,0.19,7,0.19,0.2,0,0.0,68,1.88,35.29,10.294,0.11,5.88,33.33,5.61,33.5,0.28,30.0,0.86,3.01,62.39,5.11,50.81,3.95,2.4,1.22,19.11,2.51,0.72,28.47,65.37,7.46,57.41,5.61,92.12,10.02,60.33,20.82,76.92,2.07,38.67,20.25,34.97,0.17,1.19,0.0,0.0,0.8,44.83,0.88,2.37,54.65,4.78,43.35,0.52,15.79,0.77,1.82,5.22,72.49,0,,0,,0,0,0,0.0,,,0.25,,,0.06,0.0,0.0,0.14,0,0.0,2021-22,LAMF,Extremo,2,Asociativo,2.7220320568847844,35.1,1.883396515003713,1.7376599354137514
Brais Méndez,Celta de Vigo,Celta de Vigo,RAMF,29,0,2028-06-30,37,3218,4,4.8,5,3.29,21.79,39.28,Spain,Spain,izquierdo,187,76,no,8.36,7.19,45.14,3.33,42.02,1.09,1.62,0.17,4.03,5.98,2.1,8,0.22,0,0.0,2.6,0.11,4,0.11,0.13,0,0.0,52,1.45,30.77,7.692,0.14,1.09,41.03,0.17,16.67,0.89,43.75,0.2,2.99,42.06,7.33,35.11,1.9,1.15,0.5,30.76,1.17,1.4,40.8,83.28,12.67,73.51,8.36,93.31,10.71,86.68,37.17,85.4,2.57,69.57,15.81,33.58,0.09,0.76,0.06,0.03,1.23,36.36,0.48,5.51,80.71,2.71,61.86,1.48,33.96,1.4,0.53,6.32,76.11,0,,0,,0,0,0,0.0,,,0.22,,,0.11,0.08,66.67,0.03,0,0.0,2021-22,RAMF,Extremo,3,Defensivo,2.0276804780939552,65.2,-2.5365387717699797,-0.4874648851642223
Dani Rodríguez,Mallorca,Mallorca,"LW, CF, LAMF",38,1000000,2027-06-30,36,3074,3,2.88,2,2.76,25.65,39.73,Spain,Spain,derecho,178,71,no,6.06,6.29,48.84,3.34,39.47,0.23,0.32,0.06,2.75,3.73,1.84,7,0.2,0,0.0,2.66,0.09,3,0.09,0.08,2,0.06,41,1.2,21.95,7.317,0.06,1.23,23.81,1.02,25.71,0.18,0.0,0.2,4.01,42.34,11.68,36.84,1.87,1.58,1.29,16.07,0.76,2.08,25.03,80.82,7.26,74.6,5.12,88.57,6.59,81.78,22.1,85.03,1.79,63.93,16.74,27.93,0.08,0.82,0.03,0.03,0.79,51.85,0.23,2.84,71.13,1.82,58.06,0.76,50.0,0.91,0.29,3.28,72.32,0,,0,,0,0,0,0.0,,,0.03,,,0.41,0.09,66.67,0.76,0,0.0,2021-22,LW,Extremo,3,Defensivo,1.9006736481112216,73.0,-2.4082795063002878,-0.39742613125178233
Sergio Canales,Real Betis,Real Betis,"RAMF, LDMF, RW",35,10000000,2026-06-30,34,2986,5,4.74,8,4.62,15.49,42.8,Spain,Spain,izquierdo,178,72,no,3.8,3.56,61.02,0.99,36.36,0.33,0.47,0.03,1.3,1.85,0.63,6,0.18,0,0.0,3.47,0.15,5,0.15,0.14,0,0.0,51,1.54,47.06,9.804,0.24,1.81,33.33,1.33,29.55,0.45,46.67,0.3,2.05,58.82,7.96,37.12,1.87,2.47,1.51,40.54,1.33,1.12,53.11,84.39,15.1,71.06,11.45,94.47,17.18,89.12,46.36,88.62,5.03,63.47,18.12,36.38,0.14,1.42,0.09,0.06,2.05,45.59,0.78,7.02,72.53,4.37,54.48,2.56,40.0,1.93,0.57,7.11,82.63,0,,0,,0,0,0,0.0,,,0.51,,,0.36,0.09,66.67,0.27,0,0.0,2021-22,RAMF,Extremo,2,Asociativo,2.7105794782524044,36.4,0.6617963290747289,0.7945513404064956
Iker Muniain,Athletic Club,Athletic Club,LW,33,5000000,,35,2975,4,7.09,9,9.25,17.12,48.41,Spain,Spain,derecho,169,65,no,4.11,3.57,56.78,0.39,23.08,0.3,0.4,0.0,1.78,2.36,0.42,3,0.09,0,0.0,4.72,0.12,3,0.09,0.21,0,0.0,41,1.24,51.22,9.756,0.27,1.39,47.83,0.85,57.14,0.48,25.0,0.21,4.78,55.06,11.22,49.06,1.69,2.24,1.0,28.8,0.88,2.45,40.3,85.66,12.92,79.63,7.38,90.98,11.34,87.47,37.6,87.69,1.3,67.44,15.75,27.52,0.28,2.69,0.12,0.06,1.48,53.06,0.79,5.42,81.01,3.69,68.85,1.12,45.95,1.88,0.67,6.87,90.75,0,,0,,0,0,0,0.0,,,0.0,,,2.36,0.18,16.67,3.93,3,33.333,2021-22,LW,Extremo,2,Asociativo,2.8043068401005793,31.2,0.9334132528290127,0.7770052564268547
Vinícius Júnior,Real Madrid,Real Madrid,"LWF, LW",25,0,2027-06-30,35,2856,17,10.73,9,7.53,25.71,44.36,Brazil,"Brazil, Spain",derecho,176,73,no,5.2,5.23,60.24,0.5,18.75,0.35,0.5,0.09,1.7,2.45,1.07,6,0.19,0,0.0,7.78,0.54,17,0.54,0.34,2,0.06,75,2.36,57.33,22.667,0.28,2.05,30.77,1.8,29.82,0.19,50.0,0.25,10.93,46.69,17.43,42.13,6.11,7.53,3.59,33.03,2.87,2.21,40.02,85.04,6.3,81.0,11.47,92.03,11.31,84.12,36.52,88.27,1.51,77.08,14.66,25.89,0.24,1.99,0.09,0.03,1.39,50.0,1.1,1.7,85.19,3.5,62.16,0.91,37.93,2.71,0.69,3.78,85.83,0,,0,,0,0,0,0.0,,,0.03,,,0.0,0.0,0.0,0.16,0,0.0,2021-22,LWF,Extremo,0,Desbordador,5.445198549803408,12.1,6.977091201403249,-0.715594503356243
Y. Carrasco,Atlético Madrid,Atlético Madrid,"LW, LWB, LB",32,14000000,2027-06-30,34,2808,6,5.86,6,6.59,20.48,46.01,Belgium,"Belgium, Spain",derecho,181,72,no,4.74,4.23,56.82,0.9,28.57,0.06,0.08,0.13,2.28,2.95,0.96,5,0.16,0,0.0,5.71,0.19,4,0.13,0.19,0,0.0,52,1.67,25.0,11.538,0.19,2.18,29.41,1.44,31.11,0.74,26.09,0.1,7.4,56.28,12.82,45.0,3.81,3.43,1.03,25.54,2.85,1.25,33.49,80.19,6.79,74.06,9.39,91.47,8.97,75.71,30.03,85.17,1.47,47.83,15.67,29.1,0.21,1.79,0.03,0.0,0.93,51.72,0.58,2.4,72.0,3.11,54.64,0.9,39.29,1.6,0.64,4.65,75.86,0,,0,,0,0,0,0.0,,,0.29,,,1.54,0.06,50.0,1.83,2,100.0,2021-22,LW,Extremo,1,Finalizador,2.136733980940555,58.0,1.645975796620333,0.1555421928704765
Rubén García,Osasuna,Osasuna,"LW, LWF",32,2500000,2027-06-30,37,2489,1,3.26,6,4.47,19.56,44.73,Spain,Spain,derecho,171,72,no,7.48,6.15,53.53,2.6,44.44,0.54,0.67,0.18,3.65,4.52,1.27,2,0.07,0,0.0,4.16,0.04,1,0.04,0.12,0,0.0,29,1.05,41.38,3.448,0.22,3.91,39.81,3.36,39.78,0.51,35.71,0.51,3.51,57.73,7.12,45.69,1.74,1.12,0.54,26.83,2.6,1.01,39.05,76.76,8.86,65.31,8.71,89.21,12.98,73.26,32.36,82.12,2.93,66.67,17.23,33.69,0.16,1.7,0.04,0.0,0.51,28.57,0.54,3.94,73.39,4.27,52.54,0.36,30.0,0.9,1.63,6.33,79.43,0,,0,,0,0,0,0.0,,,0.11,,,1.3,0.14,75.0,3.25,2,0.0,2021-22,LW,Extremo,2,Asociativo,2.36881036170289,54.5,-1.4308796453333574,2.022652220134662
Isi Palazón,Rayo Vallecano,Rayo Vallecano,"RAMF, RW",31,8000000,2028-06-30,34,2462,2,4.08,4,1.4,27.31,41.23,Spain,Spain,izquierdo,169,71,no,7.75,6.03,58.79,5.15,37.59,0.33,0.49,0.11,3.87,5.79,1.13,7,0.26,0,0.0,3.0,0.07,2,0.07,0.15,0,0.0,54,1.97,25.93,3.704,0.15,1.17,25.0,0.29,25.0,0.84,26.09,0.15,4.5,39.84,11.73,34.58,1.57,1.17,0.66,19.92,1.61,2.6,28.77,79.03,7.75,65.57,7.46,95.1,8.37,79.91,24.27,84.49,3.33,58.24,18.29,32.36,0.05,0.73,0.04,0.04,0.66,61.11,0.33,4.13,73.45,2.08,47.37,0.84,47.83,0.77,0.29,4.53,78.23,0,,0,,0,0,0,0.0,,,0.11,,,0.95,0.22,33.33,1.46,0,0.0,2021-22,RAMF,Extremo,3,Defensivo,2.0750264831279615,60.7,-2.4785314436554553,-1.012164928991843
